Abr. Réf.,Armoiries et drapeaux,Canton,Depuis,Chef-lieu,"Population
 (31 décembre 2022)","Superficie
[km2]","Densité
[hab./km2]","Nombre de
communes",Langues officielles,Localisation
ZH,,Zurich ,1er mai 1351,Zurich,"+1 579 967,","+1 729,",914,160,allemand,
BE,,Berne,6 mars 1353,Berne,"+1 051 437,","+5 959,44",176,337,"allemand
français",
LU,,Lucerne ,7 novembre 1332,Lucerne,"+0424 851,","+1 493,44",284,80,allemand,
UR,,Uri,août 1291,Altdorf,"+0037 317,","+1 076,57",35,19,allemand,
SZ,,Schwytz,août 1291,Schwytz,"+0164 920,","+0906,92",182,30,allemand,
OW,,Obwald,août 1291,Sarnen,"+0038 700,","+0490,59",79,7,allemand,
NW,,Nidwald,août 1291,Stans,"+0044 420,","+0275,9",161,11,allemand,
GL,,Glaris,4 juin 1352,Glaris,"+0041 471,","+0685,3",61,3,allemand,
ZG,,Zoug ,27 juin 1352,Zoug,"+0131 164,","+0238,69",550,11,allemand,
FR,,Fribourg,22 décembre 1481,Fribourg,"+0334 465,","+1 670,7",200,126,"français
allemand",
SO,,Soleure,22 décembre 1481,Soleure,"+0282 408,","+0790,49",357,107,allemand,
BS,,Bâle-Ville,13 juillet 1501,Bâle,"+0196 786,","+0037,",5319,3,allemand,
BL,,Bâle-Campagne,13 juillet 1501,Liestal,"+0294 417,","+0517,56",569,86,allemand,
SH,,Schaffhouse ,19 août 1501,Schaffhouse,"+0085 214,","+0298,42",286,26,allemand,
AR,,Appenzell Rhodes-Extérieures ,17 décembre 1513,"Aucun (de jure)
Herisau (de facto)","+0055 759,","+0242,86",230,20,allemand,
AI,,Appenzell Rhodes-Intérieures,17 décembre 1513,Appenzell,"+0016 416,","+0172,52",95,"0 (de jure)
5 (de facto)",allemand,
SG,,Saint-Gall,19 février 1803,Saint-Gall,"+0525 967,","+2 025,54",260,75,allemand,
GR,,Grisons,19 février 1803,Coire,"+0202 538,","+7 105,44",29,101,"allemand
romanche
italien",
AG,,Argovie,19 février 1803,Aarau,"+0711 232,","+1 403,73",507,198,allemand,
TG,,Thurgovie,19 février 1803,Frauenfeld,"+0289 650,","+0991,02",292,80,allemand,
TI,,Tessin,19 février 1803,Bellinzone,"+0354 023,","+2 812,2",126,106,italien,
VD,,Vaud,14 avril 1803,Lausanne,"+0830 431,","+3 212,03",259,300,français,
VS,,Valais,4 août 1815,Sion,"+0357 282,","+5 224,25",68,122,"français
allemand",
NE,,Neuchâtel,19 mai 1815,Neuchâtel,"+0176 571,","+0802,93",220,27,français,
GE,,Genève,19 mai 1815,Genève,"+0514 114,","+0282,48",1820,45,français,
JU,,Jura,1er janvier 1979,Delémont,"+0073 865,","+0838,55",88,51,français,
