Ville,Canton,Population,Population,Emplois,Emplois,Nuitées,Nuitées,Coordinates,Latitude,Longitude
Zurich,Zurich,1,"+0421 878,",1,"+0499 346,",1,"+1 117 197,","(46.201511, 6.143889)",46.201511,6.143889
Genève,Genève,2,"+0203 856,",3,"+0188 639,",3,"+0708 755,","(47.553808, 7.592036)",47.553808,7.592036
Bâle,Bâle-Ville,3,"+0173 863,",4,"+0187 181,",6,"+0539 890,","(46.520381, 6.63141)",46.520381,6.63141
Lausanne,Vaud,4,"+0140 202,",5,"+0125 287,",8,"+0443 045,","(46.946416, 7.396394)",46.946416,7.396394
Berne,Berne,5,"+0134 794,",2,"+0191 856,",11,"+0356 038,","(47.499693, 8.728495)",47.499693,8.728495
Winterthour,Zurich,6,"+0114 220,",8,"+0074 337,",20,"+0097 314,","(47.04791, 8.303928)",47.04791,8.303928
Lucerne,Lucerne,7,"+0082 620,",7,"+0082 707,",7,"+0484 891,","(47.115369, 9.331092)",47.115369,9.331092
Saint-Gall,Saint-Gall,8,"+0076 213,",6,"+0085 120,",16,"+0145 369,","(46.009425, 8.941339)",46.009425,8.941339
Lugano,Tessin,9,"+0062 315,",9,"+0056 808,",10,"+0367 102,","(47.137077, 7.251739)",47.137077,7.251739
Bienne,Berne,10,"+0055 206,",11,"+0042 111,",36,"+0048 771,","(46.753651, 7.625314)",46.753651,7.625314
Neuchâtel,Neuchâtel,11,"+0044 531,",13,"+0035 875,",22,"+0091 324,","(46.991046, 6.931647)",46.991046,6.931647
Thoune,Berne,12,"+0043 476,",19,"+0028 404,",24,"+0084 863,","(46.753651, 7.625314)",46.753651,7.625314
Bellinzone,Tessin,13,"+0043 360,",22,"+0026 098,",25,"+0075 895,","(46.194832, 9.0298)",46.194832,9.0298
Köniz,Berne,14,"+0042 388,",27,"+0022 203,",103,"+0006 793,","(47.702296, 8.627974)",47.702296,8.627974
Fribourg,Fribourg,15,"+0038 039,",17,"+0033 040,",29,"+0057 669,","(47.10022, 6.825101)",47.10022,6.825101
Coire,Grisons,16,"+0037 424,",16,"+0033 705,",19,"+0108 082,","(46.850722, 9.53171)",46.850722,9.53171
Schaffhouse,Schaffhouse,17,"+0036 952,",20,"+0027 222,",27,"+0065 974,","(47.702296, 8.627974)",47.702296,8.627974
La Chaux-de-Fonds,Neuchâtel,18,"+0036 915,",21,"+0026 223,",70,"+0019 485,","(47.10022, 6.825101)",47.10022,6.825101
Uster,Zurich,19,"+0035 337,",39,"+0017 549,",71,"+0019 473,","(47.351078, 8.717768)",47.351078,8.717768
Sion,Valais,20,"+0034 978,",14,"+0035 208,",35,"+0049 297,","(46.230456, 7.363129)",46.230456,7.363129
Vernier,Genève,21,"+0034 898,",33,"+0020 813,",46,"+0038 479,","(46.21702, 6.08497)",46.21702,6.08497
Lancy,Genève,22,"+0033 989,",28,"+0022 132,",42,"+0045 125,","(46.184834, 6.119329)",46.184834,6.119329
Emmen,Lucerne,23,"+0031 039,",40,"+0017 223,",68,"+0020 547,","(52.773835, 6.916864)",52.773835,6.916864
Zoug,Zoug,24,"+0030 934,",10,"+0043 027,",28,"+0058 793,","(47.165074, 8.51961)",47.165074,8.51961
