City,Count,Coordinates,Longitude,Latitude,Region
geneve,101,"(47.553808, 7.592036)",6.143889,46.201511,2
zurich,49,"(47.373754, 8.537087)",8.537087,47.373754,1
berne,45,"(47.553808, 7.592036)",7.592036,47.553808,1
lausanne,44,"(46.520381, 6.63141)",6.63141,46.520381,2
fribourg,34,"(46.805487, 7.162118)",7.162118,46.805487,2
bale,31,"(47.553808, 7.592036)",7.592036,47.553808,1
neuchatel,21,"(46.991046, 6.931647)",6.931647,46.991046,2
bienne,14,"(46.753651, 7.625314)",7.625314,46.753651,2
nyon,12,"(46.38641, 6.23562)",6.23562,46.38641,2
zermatt,11,"(46.025284, 7.747965)",7.747965,46.025284,1
lucerne,11,"(47.04791, 8.303928)",8.303928,47.04791,1
zoug,9,"(47.165074, 8.51961)",8.51961,47.165074,1
sion,9,"(46.230456, 7.363129)",7.363129,46.230456,2
viege,8,"(46.29496, 7.880608)",7.880608,46.29496,2
la chaux-de-fonds,8,"(47.10022, 6.825101)",6.825101,47.10022,2
martigny,7,"(46.103064, 7.079643)",7.079643,46.103064,2
sierre,7,"(46.299285, 7.532625)",7.532625,46.299285,2
winterthour,6,"(47.499693, 8.728495)",8.728495,47.499693,1
thoune,6,"(46.753651, 7.625314)",7.625314,46.753651,1
renens,6,"(46.535316, 6.589617)",6.589617,46.535316,2
vevey,6,"(46.4667, 6.8500)",6.8500,46.4667,2
morges,6,"(46.509694, 6.498445)",6.498445,46.509694,2
saint-gall,6,"(46.009425, 8.941339)",8.941339,46.009425,1
monthey,6,"(46.25555, 6.954767)",6.954767,46.25555,2
thonex,5,"(46.18815, 6.19904)",6.19904,46.18815,2
olten,5,"(47.349106, 7.910283)",7.910283,47.349106,1
montreux,5,"(46.43423, 6.911558)",6.911558,46.43423,2
bellinzone,5,"(46.194832, 9.0298)",9.0298,46.194832,3
lugano,4,"(46.009425, 8.941339)",8.941339,46.009425,3
schaffhouse,4,"(47.702296, 8.627974)",8.627974,47.702296,1
ittigen,4,"(46.980255, 7.478193)",7.478193,46.980255,1
aarau,4,"(47.391687, 8.053387)",8.053387,47.391687,1
kloten,4,"(47.45152, 8.58491)",8.58491,47.45152,1
carouge,4,"(46.18096, 6.13921)",6.13921,46.18096,2
soleure,4,"(47.2081, 7.5163)",7.5163,47.2081,2
vernier,3,"(46.21702, 6.08497)",6.08497,46.21702,2
appenzell,3,"(47.32812, 9.40792)",9.40792,47.32812,1
coire,3,"(46.850722, 9.53171)",9.53171,46.850722,1
schwytz,3,"(47.0205, 8.6583)",8.6583,47.0205,2
delemont,3,"(47.361167, 7.349073)",7.349073,47.361167,1
wadenswil,3,"(47.229508, 8.671706)",8.671706,47.229508,2
gland,2,"(46.420093, 6.270775)",6.270775,46.420093,2
baden,2,"(47.4729, 8.308)",8.3080,47.4729,1
onex,2,"(46.1833, 6.1000)",6.1000,46.1833,2
lancy,2,"(46.184834, 6.119329)",6.119329,46.184834,2
yverdon-les-bains,2,"(46.778345, 6.635482)",6.635482,46.778345,2
chene-bougeries,2,"(46.19843, 6.18642)",6.18642,46.19843,2
aigle,2,"(46.317669, 6.970125)",6.970125,46.317669,2
meyrin,2,"(46.23424, 6.08025)",6.08025,46.23424,2
pully,2,"(46.5167, 6.6667)",6.6667,46.5167,2
porrentruy,2,"(47.417729, 7.075629)",7.075629,47.417729,2
muttenz,2,"(47.523393, 7.648065)",7.648065,47.523393,1
spreitenbach,2,"(47.418359, 8.369214)",8.369214,47.418359,1
rapperswil-jona,1,"(47.227574, 8.843525)",8.843525,47.227574,1
pfaffikon,1,"(47.36689, 8.785993)",8.785993,47.36689,1
versoix,1,"(46.287715, 6.155885)",6.155885,46.287715,2
emmen,1,"(52.773835, 6.916864)",6.916864,52.773835,1
arbon,1,"(47.514603, 9.432618)",9.432618,47.514603,1
granges,1,"(47.192182, 7.39216)",7.39216,47.192182,2
crissier,1,"(46.55165, 6.57125)",6.57125,46.55165,2
flawil,1,"(47.41568, 9.189439)",9.189439,47.41568,1
wallisellen,1,"(47.41499, 8.59672)",8.59672,47.41499,1
uster,1,"(47.351078, 8.717768)",8.717768,47.351078,1
bulle,1,"(46.618011, 7.055307)",7.055307,46.618011,2
chiasso,1,"(45.832322, 9.029056)",9.029056,45.832322,3
reinach,1,"(47.258426, 8.179858)",8.179858,47.258426,1
munsingen,1,"(48.409976, 9.496439)",9.496439,48.409976,1
ecublens,1,"(46.60735, 6.80895)",6.80895,46.60735,2
koniz,1,"(46.9250, 7.4153)",7.4153,46.9250,1
davos,1,"(46.8091, 9.8398)",9.8398,46.8091,1
richterswil,1,"(47.205187, 8.706905)",8.706905,47.205187,1
prilly,1,"(46.5392, 6.605367)",6.605367,46.5392,2
berthoud,1,"(47.0567, 7.6264)",7.6264,47.0567,1
wil,1,"(47.46152, 9.04552)",9.04552,47.46152,1
schlieren,1,"(47.39668, 8.44763)",8.44763,47.39668,1
weinfelden,1,"(47.566894, 9.104073)",9.104073,47.566894,1
lenzbourg,1,"(47.388748, 8.17853)",8.17853,47.388748,1
horgen,1,"(47.261948, 8.596927)",8.596927,47.261948,1
pratteln,1,"(47.518095, 7.689088)",7.689088,47.518095,1
