Country,Count,CountryName,CapitalName,ContinentName,OtherNames,Coordinates,Latitude,Longitude,ISO2,Name
schweiz,302,schweiz,bern,europa,,"(46.946416, 7.396394)",46.946416,7.396394,CH,schweiz
deutschland,67,deutschland,berlin,europa,,"(52.524932, 13.407032)",52.524932,13.407032,DE,deutschland
vereinigte staaten von amerika,64,vereinigte staaten von amerika,"washington, d.c.",amerika/nordamerika,['usa'],"(38.82652, -77.01712)",38.82652,-77.01712,US,vereinigte staaten von amerika
israel,48,israel,jerusalem,asien,,"(31.759595, 35.215315)",31.759595,35.215315,IL,israel
vereinigtes konigreich,40,vereinigtes konigreich,london,europa,"['grobritannien', 'grossbritannien', 'england', 'schottland', 'wales', 'uk']","(51.509648, -0.099076)",51.509648,-0.099076,GB,
italien,33,italien,rom,europa,,"(41.878243, 12.528091)",41.878243,12.528091,IT,italien
frankreich,32,frankreich,paris,europa,,"(48.858705, 2.342865)",48.858705,2.342865,FR,frankreich
china,26,china,peking,asien,['volksrepublik china'],"(39.937967, 116.417592)",39.937967,116.417592,CN,china
ukraine,20,ukraine,kiew,europa,,"(50.469863, 30.431971)",50.469863,30.431971,UA,ukraine
brasilien,18,brasilien,brasilia,amerika/sudamerika,,"(-11.929178, -49.542799)",-11.929178,-49.542799,BR,brasilien
spanien,17,spanien,madrid,europa,,"(40.429913, -3.669245)",40.429913,-3.669245,ES,spanien
niederlande,14,niederlande,amsterdam,europa,['holland'],"(52.37243, 4.89973)",52.37243,4.89973,NL,niederlande
niederlande,14,niederlande,den haag,europa,['holland'],"(52.07114, 4.29916)",52.07114,4.29916,NL,niederlande
australien,13,australien,canberra,australien und ozeanien,,"(-35.470057, 148.954507)",-35.470057,148.954507,AU,australien
japan,12,japan,tokio,asien,,"(35.695126, 139.75391)",35.695126,139.75391,JP,japan
kosovo,11,kosovo,pristina,europa,,"(42.67272, 21.16688)",42.67272,21.16688,XK,
