"","loc","publication_date","title","keywords","image_loc"
"1","https://www.20min.ch/story/estavayer-le-lac-deutscher-schaeferhund-reisst-huendelerinnen-zu-boden-821343617568","2023-11-06T12:31:34+01:00","Estavayer-le-Lac: Deutscher Schäferhund reisst Hündelerinnen zu Boden",NA,"https://cdn.unitycms.io/images/D_a9Y2es4mIBtxY8Wn_KjP.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=-Q5_Xizzpfg"
"2","https://www.20min.ch/story/hebron-fernsehteam-der-ard-von-israelischen-soldaten-bedraengt-335125399280","2023-11-06T12:28:41+01:00","Hebron: Fernsehteam der ARD von israelischen Soldaten bedrängt",NA,"https://cdn.unitycms.io/images/B5uU08HNa1n9RNZe1X8lkr.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=cWBoPdMW_I0"
"3","https://www.20min.ch/story/eigenthal-mann-versucht-postauto-zu-stehlen-723265939920","2023-11-06T12:24:23+01:00","Eigenthal: Mann versucht, Postauto zu stehlen",NA,"https://cdn.unitycms.io/images/5HmFUZMeaxW80Xu5pNmnhi.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=tdtDWLJC5LY"
"4","https://www.20min.ch/story/dieses-tiktok-haette-die-basler-polizei-kaum-veroeffentlicht-166686679207","2023-11-06T12:18:59+01:00","Dieses Tiktok hätte die Basler Polizei kaum veröffentlicht",NA,"https://cdn.unitycms.io/images/5K-Rn_JGqcSBrBo0DnZkSo.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=uwYj3b5HSr8"
"5","https://www.20min.ch/story/jerusalem-palaestinensische-widerstandsikone-tamimi-festgenommen-239065085553","2023-11-06T12:12:15+01:00","Jerusalem: Aktivistin Ahed Tamimi festgenommen",NA,"https://cdn.unitycms.io/images/0xvDjsTxKXWBN4kcI2EM2f.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=Sy-GSe7W9OQ"
"6","https://www.20min.ch/story/schweiz-einkaufen-laut-studie-so-unbeliebt-wie-hausarbeit-892718500168","2023-11-06T11:53:08+01:00","Schweiz: Einkaufen laut Studie so unbeliebt wie Hausarbeit",NA,"https://cdn.unitycms.io/images/2DIhfPGVaTS8bYTqWx4LJr.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=kDoyb6CbI_g"
"7","https://www.20min.ch/story/nahost-gaza-atom-u-boot-566174374995","2023-11-06T11:49:02+01:00","USA bestätigen Präsenz von atomwaffenfähigem U-Boot im Nahen Osten",NA,"https://cdn.unitycms.io/images/8y76BJ9aKS38ScU2abc0uV.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=n4qWMs9sOTQ"
"8","https://www.20min.ch/story/polarlichter-am-schweizer-nachthimmel-797378374979","2023-11-06T11:42:42+01:00","Polarlichter am Schweizer Nachthimmel",NA,"https://cdn.unitycms.io/images/AkRpR7U5aNi8klofKXohXJ.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=kbqmlg0ZAnw"
"9","https://www.20min.ch/story/medikamente-jordanische-luftwaffe-wirft-hilfsgueter-ueber-gazastreifen-ab-600259220800","2023-11-06T11:17:22+01:00","Medikamente: Jordanische Luftwaffe wirft Hilfsgüter über Gazastreifen ab",NA,"https://cdn.unitycms.io/images/EVRsxfifaYtAXWrnrjjLKY.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=Z7rWixRMH-k"
"10","https://www.20min.ch/story/jenny-elvers-erleidet-alkoholrueckfall-mit-1-7-promille-am-steuer-erwischt-692485748776","2023-11-06T11:16:16+01:00","Jenny Elvers erleidet Alkoholrückfall – mit 1,7 Promille am Steuer erwischt",NA,"https://cdn.unitycms.io/images/8ZzrIpTNavyAWzCXk_AYy9.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=In20LxCKJ7U"
"11","https://www.20min.ch/story/fc-basel-gabriel-sigua-faehrt-nach-spiel-mit-oev-nach-hause-202918317266","2023-11-06T11:14:59+01:00","FC Basel: Gabriel Sigua fährt nach Spiel mit ÖV nach Hause",NA,"https://cdn.unitycms.io/images/E6HcEMbn4dc8e0xApUBSmp.jpg?op=ocroped&val=1200,1200,1000,572,58,0&sum=x0EtN04tJ3c"
"12","https://www.20min.ch/story/flaesch-schwerer-unfall-bei-geburtstagsfeier-seilbahnrad-trifft-maenner-593412524200","2023-11-06T11:13:59+01:00","Fläsch: Schwerer Unfall bei Geburtstagsfeier – Seilbahnrad trifft Männer",NA,"https://cdn.unitycms.io/images/4bwPYUzhK4WBACWpXGpx_A.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=9OAtniMSJVk"
"13","https://www.20min.ch/story/fdp-zuerich-david-noser-tritt-aus-der-fdp-aus-197079426606","2023-11-06T11:04:08+01:00","FDP Zürich: David Noser tritt aus der FDP aus",NA,"https://cdn.unitycms.io/images/DcagEwtoKnBAxmgrnscVvg.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=PX0RewWR3C0"
"14","https://www.20min.ch/story/gibt-es-mundgeruch-bei-der-knoblauchpresse-oder-beim-schneiden-235107139751","2023-11-06T10:53:56+01:00","Gibt es Mundgeruch bei der Knoblauchpresse oder beim Schneiden?",NA,"https://cdn.unitycms.io/images/6EjtZtDLKNU9vZM0p7UMjk.jpg?op=ocroped&val=1200,1200,760,795,48,240&sum=yBq7_SOTQCs"
