"","loc","publication_name","language","publication_date","title","keywords"
"1","https://www.tio.ch/ticino/attualita/1710408/condizioni-migliori-nei-centri-per-richiedenti-asilo-e-non-di-semi-detenzione","Ticinonline","it","2023-11-06T13:01+01:00","«Condizioni migliori nei centri per richiedenti asilo e non di semi detenzione»","richiedenti asilo,mendrisiotto regione aperta"
"2","https://www.tio.ch/dal-mondo/attualita/1710406/cina-pechino-progressi-stati-premier","Ticinonline","it","2023-11-06T12:52+01:00","Albanese a Pechino: tra tensioni strategiche e progressi commerciali","cina,pechino,progressi,stati,premier,fatti,fatti progressi,stati fatti progressi,australia,molto positivi"
"3","https://www.tio.ch/svizzera/cronaca/1710374/si-appendono-alla-ruota-sospesa-che-si-stacca-e-travolge-due-persone","Ticinonline","it","2023-11-06T12:32+01:00","Si appendono alla ruota sospesa, che si stacca e travolge due persone","due,ospedale,ruota sospesa,grigioni,ruota,sospesa,incidente,festa,compleanno,tre"
"4","https://www.tio.ch/agenda/spettacoli/1710399/pio-e-amedeo-a-lugano-lo-spettacolo-e-rinviato-a-febbraio-2024","Ticinonline","it","2023-11-06T12:28+01:00","Pio e Amedeo a Lugano, lo spettacolo è rinviato a febbraio 2024","pio,amedeo,febbraio,spettacolo,lugano,show,felicissimo show,palazzo,pio amedeo,due"
"5","https://www.tio.ch/rubriche/fashionchannel/1710333/nuovo-centro-michela-veronelli-scuse","Ticinonline","it","2023-11-06T12:00+01:00","A Chiasso un nuovo centro estetico, anzi molto di più…","nuovo,centro estetico,nuovo centro,centro,zero scuse,michela,veronelli,michela veronelli,scuse,obbiettivi"
"6","https://www.tio.ch/people/people/1709607/foglietta-tognazzi-capodieci-rossi-stuart","Ticinonline","it","2023-11-06T12:00+01:00","Capodieci con Tognazzi, Foglietta e Rossi Stuart","foglietta,rossi stuart,stuart,tognazzi,rossi,capodieci,attore,balerna,video,serie"
"7","https://www.tio.ch/svizzera/cronaca/1710379/si-ribalta-con-la-canoa-muore-un-75enne","Ticinonline","it","2023-11-06T11:52+01:00","Si ribalta con la canoa, muore un 75enne","75enne,canoa,quattro cantoni,accaduto,ieri pomeriggio,pomeriggio,stato,quattro,lago,cantoni"
"8","https://www.tio.ch/dal-mondo/cronaca/1710385/il-papa-non-sto-bene-di-salute","Ticinonline","it","2023-11-06T11:51+01:00","Il Papa: «Non sto bene di salute»","papà,salute,rabbini,discorso,rabbini europei,vaticano,raffreddore,po,italia,po raffreddore"
"9","https://www.tio.ch/ticino/attualita/1710376/elisabeth-baume-schneider-e-arrivata-a-chiasso","Ticinonline","it","2023-11-06T11:45+01:00","Elisabeth Baume-Schneider è arrivata a Chiasso","federale,asilo,arrivata,chiasso,elisabeth baume-schneider,baume-schneider,elisabeth baume,baume,elisabeth,autorità"
"10","https://www.tio.ch/sport/hockey/1710380/nussbaumer-con-la-svizzera-per-la-karjala-cup","Ticinonline","it","2023-11-06T11:42+01:00","Nussbaumer con la Svizzera per la Karjala Cup","cup,nussbaumer,zugo,davos,karjala cup,karjala,svizzera,finlandia,attaccante,23enne"
"11","https://www.tio.ch/sport/hockey/1710369/biennale-con-lo-zugo-per-k-nzle","Ticinonline","it","2023-11-06T11:33+01:00","Biennale con lo Zugo per Künzle","künzle,biennale,zugo,davos,league,kessler,hollenstein,gross,national league,national"
"12","https://www.tio.ch/ticino/attualita/1710363/prolungata-l-allerta-piena-per-il-lago-di-lugano","Ticinonline","it","2023-11-06T11:29+01:00","Prolungata l'allerta piena per il lago di Lugano","lugano,allerta,lago,allerta piena,piena,giovedì,dovrebbe,picco,domenica,lago lugano"
"13","https://www.tio.ch/svizzera/attualita/1710368/trasporti-spesi-in-un-anno-11-000-franchi-a-testa-per-muoversi","Ticinonline","it","2023-11-06T11:23+01:00","Trasporti, spesi in un anno 11'000 franchi a testa per muoversi","trasporto,miliardi,franchi,stati,costi,trasporti,spesi,miliardi franchi,totale,costato"
"14","https://www.tio.ch/ticino/attualita/1710365/attenzione-tpl-bus-supereroe-farsi","Ticinonline","it","2023-11-06T11:22+01:00","Un supereroe per non farsi male sui bus","farsi male,supereroe,tpl,bus,farsi,attenzione,prestare attenzione,utenti,invita,supermuscoli"
"15","https://www.tio.ch/svizzera/attualita/1710361/energia-neanche-quest-anno-ci-sara-il-rischio-di-rimanere-a-corto","Ticinonline","it","2023-11-06T11:18+01:00","Energia, neanche quest'anno ci sarà il rischio di rimanere a corto","europa,energia,inverno,gas,elettricità,centrali,svizzera,prezzi,centrali nucleari,approvvigionamento"
"16","https://www.tio.ch/sport/calcio/1710305/coppa-lugano-bellinzona-svizzera-campionato","Ticinonline","it","2023-11-06T11:00+01:00","Niente bis per il Lugano, Bellinzona in crescita","svizzera,lugano,losanna,campionato,coppa svizzera,bellinzona,bianconeri,coppa,risultato,vaud"
"17","https://www.tio.ch/svizzera/cronaca/1710359/denaro-bancomat-causato-franchi-esplosione","Ticinonline","it","2023-11-06T10:56+01:00","Fanno esplodere un bancomat e scappano con il denaro","denaro,bancomat,causato,franchi,esplosione,san gallo,gallo,danni,centinaia,causato danni"
"18","https://www.tio.ch/ticino/attualita/1710355/novembre-donazione-sangue-lugano-crs","Ticinonline","it","2023-11-06T10:39+01:00","Due giornate per promuovere la donazione di sangue","novembre,centri trasfusionali,donazione,sangue,lugano,crs,centri,iniziativa,bellinzona,locarno"
"19","https://www.tio.ch/ticino/attualita/1710350/natale-ecco-tutte-le-aperture-straordinarie-dei-negozi","Ticinonline","it","2023-11-06T10:23+01:00","Natale, ecco tutte le aperture straordinarie dei negozi","lavoro,domenica,può,negozi,aperture,lavoratore,domeniche,aperture straordinarie,occupazione,essere"
"20","https://www.tio.ch/svizzera/attualita/1710322/lo-spettacolo-delle-aurore-boreali-nel-cielo-svizzero","Ticinonline","it","2023-11-06T10:21+01:00","Lo spettacolo delle aurore boreali nel cielo svizzero","svizzero,aurore,aurore boreali,spettacolo,cielo svizzero,cielo,molte,molte località,evento,località"
"21","https://www.tio.ch/ticino/attualita/1710345/non-aspettare-la-neve-per-rendere-il-tuo-veicolo-piu-sicuro","Ticinonline","it","2023-11-06T10:20+01:00","«Non aspettare la neve per rendere il tuo veicolo più sicuro!»","veicolo,veicoli,pneumatici,equipaggiamento,sensibilizzazione,strade,polizia cantonale,polizia,equipaggiamento invernale,corretto equipaggiamento"
"22","https://www.tio.ch/ticino/cronaca/1710346/cassazione-17mila-euro-spacciatore-cocaina","Ticinonline","it","2023-11-06T10:06+01:00","Pizzicato mentre vendeva droga a Ponte Chiasso, pusher risarcito per 17mila euro","17mila euro,17mila,chiasso,droga,ponte chiasso,euro,pusher,ponte,cassazione,denaro"
"23","https://www.tio.ch/dal-mondo/cronaca/1710336/una-giornata-di-tregua-ma-sta-per-tornare-il-maltempo","Ticinonline","it","2023-11-06T09:29+01:00","Una giornata di tregua, ma sta per tornare il maltempo","italia,toscana,tregua,maltempo,giornata,molto critica,resta molto,resta molto critica,resta,situazione"
"24","https://www.tio.ch/rubriche/fashionchannel/1710332/bellezza-hairlovers-miss-ticino-mamma-backstage-hairlover","Ticinonline","it","2023-11-06T09:00+01:00","Miss Mamma Ticino: nel backstage con i parrucchieri Hairlovers","backstage,miss mamma ticino,miss,mamma ticino,miss mamma,ticino,hairlover,hairlovers,bellezza,mamma"
