"","loc","publication_name","language","publication_date","title","keywords","image_loc"
"1","https://www.20min.ch/fr/story/dijon-f-un-homme-tue-dans-son-sommeil-apres-un-tir-sur-son-immeuble-269443523058","20minutes","fr","2023-11-26T10:29:50+01:00","Dijon: Tirs près d’un point de deal: il est tué dans son sommeil ",NA,"https://cdn.unitycms.io/images/9fXqGnpwaDEBrRixPEAcYN.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=6hdU-t0A6QY"
"2","https://www.20min.ch/fr/story/football-une-banderole-denoncant-la-corruption-survole-city-liverpool-259033310902","20minutes","fr","2023-11-26T10:15:13+01:00","Football: Une banderole dénonçant la corruption survole City – Liverpool",NA,"https://cdn.unitycms.io/images/DZEBiQVUK7DAV-RdwRuVox.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=iUzTmegdy9I"
"3","https://www.20min.ch/fr/story/football-50-policiers-blesses-a-francfort-548066748930","20minutes","fr","2023-11-26T10:09:49+01:00","Football: Environ 50 policiers blessés à Francfort",NA,"https://cdn.unitycms.io/images/DLDyLCp5KTMBNyEg5i0Ov6.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=tnPMHhYxoZo"
"4","https://www.20min.ch/fr/story/operation-deluge-dal-aqsa-des-centaines-de-roquettes-tirees-de-la-bande-de-gaza-vers-israel-238434023542","20minutes","fr","2023-11-26T10:01:11+01:00","Guerre Israël-Hamas: Huit morts en Cisjordanie lors d’une opération antiterroriste",NA,"https://cdn.unitycms.io/images/CwK_BpeuKuwAWHY5VVyaLT.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=XTQbfTb4_N4"
"5","https://www.20min.ch/fr/story/est-ce-grave-davaler-un-chewing-gum-867888134621","20minutes","fr","2023-11-26T10:00:00+01:00","«dans ton ventre pendant sept ans»: Est-ce grave d’avaler un chewing-gum?",NA,"https://cdn.unitycms.io/images/7EY4crImKtw9wsHVd821ga.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=nL6txtM_Z9E"
"6","https://www.20min.ch/fr/story/un-violent-incendie-ravage-un-immeuble-a-birmensdorf-zh-531118995255","20minutes","fr","2023-11-26T09:50:57+01:00","Un violent incendie ravage un immeuble à Birmensdorf (ZH)",NA,"https://cdn.unitycms.io/images/0XyMpVeNqSs93JyiU0zg_r.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=Czgs5XLCD2Y"
"7","https://www.20min.ch/fr/story/sierra-leone-couvre-feu-apres-une-attaque-contre-une-armurerie-de-larmee-839316582550","20minutes","fr","2023-11-26T09:41:01+01:00","Sierra Leone: Couvre-feu après une attaque contre une armurerie ",NA,"https://cdn.unitycms.io/images/1ItXBiyVqESBXADmX7c18c.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=awPLnL_XA4w"
"8","https://www.20min.ch/fr/story/israel-des-enfants-se-mettent-soudainement-en-position-foetale-426242696611","20minutes","fr","2023-11-26T08:59:48+01:00","Israël: «Des enfants se mettent soudainement en position foetale»",NA,"https://cdn.unitycms.io/images/2GbjMlB7KaIAIfle1yEFr0.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=f5PXTGIp0RM"
"9","https://www.20min.ch/fr/story/inde-nouvelles-tentatives-pour-liberer-41-ouvriers-pieges-dans-un-tunnel-305310936175","20minutes","fr","2023-11-26T08:48:08+01:00","Inde: Les 41 ouvriers piégés depuis 14 jours doivent «patienter»",NA,"https://cdn.unitycms.io/images/DsDAtflN49Z9KLS0Fa2XJJ.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=-LXob9RKGp4"
"10","https://www.20min.ch/fr/story/athletisme-une-jeune-athlete-suedoise-se-donne-la-mort-123554885511","20minutes","fr","2023-11-26T07:36:22+01:00","Athlétisme: Une jeune athlète suédoise se donne la mort",NA,"https://cdn.unitycms.io/images/Dm27wWIPqkIBAMTiPZVcFl.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=HZWQCzcxTww"
"11","https://www.20min.ch/fr/story/concours-gagne-un-week-end-bien-etre-et-ski-a-ovronnaz-pour-deux-personnes-105642900602","20minutes","fr","2023-11-26T07:23:36+01:00","Concours: Gagne un week-end de ski-wellness à Ovronnaz pour deux personnes",NA,"https://cdn.unitycms.io/images/D1Oxi54dqJP9k42QazFcsz.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=pZPCSePe2Z0"
"12","https://www.20min.ch/fr/story/vaud-le-jeune-pervers-sexuel-ciblait-les-trains-nocturnes-750192699396","20minutes","fr","2023-11-26T07:04:26+01:00","Vaud: Le jeune pervers sexuel ciblait les trains nocturnes",NA,"https://cdn.unitycms.io/images/2iSDCBphqBeBW_1qAzbfZ2.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=8DBgtfKGgY8"
"13","https://www.20min.ch/fr/story/treve-a-gaza-248-camions-daide-humanitaire-sont-arrives-dans-lenclave-421972112753","20minutes","fr","2023-11-26T04:09:42+01:00","Trêve à Gaza: 248 camions d’aide humanitaire sont arrivés dans l’enclave",NA,"https://cdn.unitycms.io/images/5Og1rhPr4kS8qkldU7LEa9.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=czbyZM22ZsI"
"14","https://www.20min.ch/fr/story/conflit-israel-hamas-39-prisonniers-palestiniens-liberes-de-retour-chez-eux-163580221578","20minutes","fr","2023-11-26T03:23:36+01:00","Conflit Israël-Hamas: 39 prisonniers palestiniens libérés de retour chez eux",NA,"https://cdn.unitycms.io/images/1ydUggyo4-oB4zurdYIqJd.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=HG21Ps0f-Iw"
"15","https://www.20min.ch/fr/story/mort-de-thomas-elucidation-des-faits-pas-achevee-9-jeunes-mis-en-examen-695780368565","20minutes","fr","2023-11-26T01:26:12+01:00","Mort de Thomas à Crépol (F): Neuf jeunes mis en examen, des mobiles encore à établir",NA,"https://cdn.unitycms.io/images/3vJs-NOg4Vd8v8KCF_LYM-.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=_6H7_sAYBfg"
"16","https://www.20min.ch/fr/story/france-deces-de-gerard-collomb-ancien-ministre-de-linterieur-746409025121","20minutes","fr","2023-11-26T00:07:23+01:00","France: Décès de Gérard Collomb, ancien ministre de l’Intérieur",NA,"https://cdn.unitycms.io/images/Eyv8aexaqAhBIH5CS6f5l1.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=vsdLoU05SqI"
"17","https://www.20min.ch/fr/story/paris-13-interpelles-apres-des-tags-de-croix-gammees-409653326200","20minutes","fr","2023-11-25T23:43:36+01:00","Paris: Treize personnes interpellées après des tags de croix gammées",NA,"https://cdn.unitycms.io/images/4ExCkeyxKy787FCkPe85ds.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=SdWpq_CAXX0"
"18","https://www.20min.ch/fr/story/hockey-sur-glace-sierre-sadjuge-a-nouveau-le-derby-contre-martigny-827493824771","20minutes","fr","2023-11-25T23:17:21+01:00","Hockey sur glace: Sierre s’adjuge à nouveau le derby contre Martigny",NA,"https://cdn.unitycms.io/images/6OwY81oUqNLBcLNddSGV_4.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=gc9H3gp54ns"
"19","https://www.20min.ch/fr/story/football-lens-simpose-a-clermont-marseille-frustre-398002579759","20minutes","fr","2023-11-25T23:10:21+01:00","Football: Lens s’impose à Clermont, Marseille frustré",NA,"https://cdn.unitycms.io/images/C00axTdga6nBk8g9x568CV.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=ZboD6MGHbPE"
"20","https://www.20min.ch/fr/story/football-le-barca-decoit-encore-en-liga-307049184620","20minutes","fr","2023-11-25T23:00:36+01:00","Football: Le Barça déçoit encore, l’Atlético et Griezmann sourient",NA,"https://cdn.unitycms.io/images/C8t-FgKs4Ie8CrIG-sa3Cm.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=C4Jl2iKHoMQ"
"21","https://www.20min.ch/fr/story/football-le-napoli-vainqueur-a-bergame-la-lazio-sincline-contre-le-dernier-842091025636","20minutes","fr","2023-11-25T22:56:27+01:00","Football: Le Napoli et l’AC Milan gagnent, la Lazio s’incline contre le dernier",NA,"https://cdn.unitycms.io/images/B9XCk2qAKKT82Cnp3ymNBM.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=Nc5uTVRtY78"
"22","https://www.20min.ch/fr/story/football-le-verrou-dyverdon-a-explose-en-5-minutes-658093467375","20minutes","fr","2023-11-25T22:37:47+01:00","Football: Le verrou d’Yverdon a explosé en 5 minutes",NA,"https://cdn.unitycms.io/images/0pWLxf_HKkE9P7DhqSYD4-.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=-tNPAdajItk"
"23","https://www.20min.ch/fr/story/hockey-sur-glace-face-a-zoug-ajoie-a-paye-cher-ses-erreurs-809142034218","20minutes","fr","2023-11-25T22:29:50+01:00","Hockey  sur glace: Face à Zoug, Ajoie a payé cher ses erreurs",NA,"https://cdn.unitycms.io/images/Ep60y9jQ4dv8uOApHfvQgg.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=qEdBEsNaRCU"
"24","https://www.20min.ch/fr/story/football-yverdon-recoit-lugano-en-super-league-281541374249","20minutes","fr","2023-11-25T22:23:04+01:00","Football: Yverdon coule à domicile face à Lugano",NA,"https://cdn.unitycms.io/images/CbmFwmhCKQPBMjisURIytO.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=hObXP6DhW9E"
"25","https://www.20min.ch/fr/story/hockey-sur-glace-ge-servette-gache-une-occasion-en-or-207873696486","20minutes","fr","2023-11-25T22:08:00+01:00","Hockey sur glace: GE Servette gâche une occasion en or",NA,"https://cdn.unitycms.io/images/ACEE9I4VqBD9-_maBkjfY9.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=X_Pb8eUex-o"
"26","https://www.20min.ch/fr/story/hockey-sur-glace-fribourg-gotteron-se-rassure-face-a-rapperswil-760928618895","20minutes","fr","2023-11-25T22:01:38+01:00","Hockey sur glace: Fribourg-Gottéron se rassure face à Rapperswil",NA,"https://cdn.unitycms.io/images/A5Qe-OUoaD5BIGkR7W4qF6.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=MlKME4m7kxw"
"27","https://www.20min.ch/fr/story/hockey-sur-glace-lausanne-poursuit-sa-serie-victorieuse-a-bienne-355701898060","20minutes","fr","2023-11-25T21:55:56+01:00","Hockey sur glace: Lausanne poursuit sa série victorieuse à Bienne",NA,"https://cdn.unitycms.io/images/35wlVU9aKGAAdpmZCX-a8V.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=_FYbstKgVO8"
"28","https://www.20min.ch/fr/story/hockey-sur-glace-bienne-a-la-chasse-aux-points-contre-lausanne-772328317126","20minutes","fr","2023-11-25T21:53:30+01:00","Hockey sur glace: Bienne trébuche encore contre Lausanne",NA,"https://cdn.unitycms.io/images/BvVCgWX0qLw8M7_HN-YOwn.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=0x8jxsOdeh0"
"29","https://www.20min.ch/fr/story/tennis-coupe-davis-la-serbie-de-djokovic-trebuche-litalie-en-finale-210113170501","20minutes","fr","2023-11-25T21:44:25+01:00","Tennis: Coupe Davis: La Serbie de Djokovic trébuche, l’Italie en finale",NA,"https://cdn.unitycms.io/images/7xrM7fWlaw2B4dF6BSNXJB.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=pxYZp-yihGQ"
"30","https://www.20min.ch/fr/story/journee-internationale-manifestations-dans-plusieurs-pays-contre-les-violences-faites-aux-femmes-523388409237","20minutes","fr","2023-11-25T21:06:08+01:00","Manifestations dans plusieurs pays contre les violences faites aux femmes",NA,"https://cdn.unitycms.io/images/82TVvu_7477ByUcV1faong.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=rp3T5n_p1_o"
"31","https://www.20min.ch/fr/story/football-manchester-city-et-liverpool-dos-a-dos-dans-le-choc-au-sommet-767533118677","20minutes","fr","2023-11-25T20:56:34+01:00","Football: Manchester City et Liverpool dos à dos, Arsenal retrouve le trône",NA,"https://cdn.unitycms.io/images/ECyW-xkvKgDBSKYejOs6Nx.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=BqT3YYYCBmM"
"32","https://www.20min.ch/fr/story/football-leverkusen-et-xhaka-impressionnent-encore-et-restent-en-tete-161866986760","20minutes","fr","2023-11-25T20:55:50+01:00","Football: Leverkusen et Xhaka impressionnent encore et restent en tête",NA,"https://cdn.unitycms.io/images/AGxfkrql4iiA4c8EM3d_0s.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=LutyVxX4ba0"
