"","loc","publication_name","language","publication_date","title","keywords","image_loc"
"1","https://www.20min.ch/story/ukraine-krieg-berset-kiew-selenski-raketenalarm-453678534597","20minuten","de","2023-11-27T10:53:55+01:00","Ukraine-Krieg: Mehr als zehn ukrainische Drohnen über Moskau abgefangen",NA,"https://cdn.unitycms.io/images/ERFVGi5AKAI8IFg0KRM_un.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=zRpcVORgqhc"
"2","https://www.20min.ch/story/beyonce-ist-kaum-wiederzuerkennen-sie-traegt-platinblondes-haar-versace-2023-451716284489","20minuten","de","2023-11-27T10:50:58+01:00","Beyoncé ist kaum wiederzuerkennen – sie trägt platinblondes Haar",NA,"https://cdn.unitycms.io/images/EJjPxjFfaq183Kv64GOkkW.png?op=ocroped&val=1200,1200,1000,426,45,0&sum=elMykjc33zY"
"3","https://www.20min.ch/story/prozess-in-biel-ermordete-er-seine-frau-auf-brutale-weise-861105621973","20minuten","de","2023-11-27T10:49:24+01:00","Prozess in Biel: Ermordete er seine Frau auf brutale Weise?",NA,"https://cdn.unitycms.io/images/BtGfCwHQKma8FmvyRMNg-M.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=8rRa8EZ6BlE"
"4","https://www.20min.ch/story/trinkkarton-mit-diesem-trick-kleckert-dein-kind-nicht-mehr-beim-trinken-420844780772","20minuten","de","2023-11-27T10:48:13+01:00","Trinkkarton: Mit diesem Trick kleckert dein Kind nicht mehr beim Trinken",NA,"https://cdn.unitycms.io/images/E0hvyBNt4CjBqde4W__Iax.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=WGxMo6v9QKI"
"5","https://www.20min.ch/story/stadt-bern-fehler-in-der-software-9600-lenker-faelschlicherweise-gebuesst-417294721082","20minuten","de","2023-11-27T10:27:05+01:00","Stadt Bern : Wer geblitzt wurde, erhält vielleicht bald sein Geld zurück",NA,"https://cdn.unitycms.io/images/0uwWMRAOan48-TnNsUxREO.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=7vDLQTkcyaA"
"6","https://www.20min.ch/story/china-versichert-nach-who-aufforderung-es-gibt-kein-neues-virus-332436595960","20minuten","de","2023-11-27T10:26:11+01:00","China versichert nach WHO-Aufforderung: Es gibt kein neues Virus",NA,"https://cdn.unitycms.io/images/EuTjN4snq50BF7XtPdvl5L.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=RCbmzWvlt58"
"7","https://www.20min.ch/story/mit-diesem-code-findest-du-die-frischsten-abgepackten-fruechte-616046918969","20minuten","de","2023-11-27T10:15:35+01:00","Mit diesem Code findest du die frischsten abgepackten Früchte",NA,"https://cdn.unitycms.io/images/0kUNzWYoKZWBs-Gs2DO6qe.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=Du0w2f10XmM"
"8","https://www.20min.ch/story/schweiz-sunrise-plant-fuer-2024-einen-abbau-von-200-stellen-994886477505","20minuten","de","2023-11-27T09:22:34+01:00","Sunrise will 200 Stellen abbauen",NA,"https://cdn.unitycms.io/images/28-qItRuqheA8AaSFPzYx0.jpg?op=ocroped&val=1200,1200,764,662,133,168&sum=Mn-NxroFtTk"
"9","https://www.20min.ch/story/606-millionen-franken-rene-benko-schuldet-julius-baer-viel-geld-346466013876","20minuten","de","2023-11-27T09:00:18+01:00","606 Millionen Franken: René Benko schuldet Julius Bär viel Geld",NA,"https://cdn.unitycms.io/images/EJ-62963qz39L43LlvnWkV.jpg?op=ocroped&val=1200,1200,936,918,0,0&sum=8bOIJ0DfiH4"
"10","https://www.20min.ch/story/israel-gaza-al-ahli-spital-hamas-rakete-fehlzuendung-566174374995","20minuten","de","2023-11-27T08:34:07+01:00","Gazastreifen: Fehlgezündete Rakete bei Al-Ahli-Spital von Hamas",NA,"https://cdn.unitycms.io/images/73vTZ4rf4Vz8dX2QdyKhJC.jpg?op=ocroped&val=1200,1200,843,676,233,111&sum=c360d4V2Mzw"
